model,condition,item_id,domain,response,correct_answer,is_correct
llama3-8b,T1,10020,physics,A,H,False
llama3-8b,T1,10021,physics,B,I,False
llama3-8b,T1,10022,physics,B,D,False
llama3-8b,T1,10029,physics,F,F,True
llama3-8b,T1,10032,physics,B,B,True
llama3-8b,T1,10033,physics,B,B,True
llama3-8b,T1,10034,physics,B,E,False
llama3-8b,T1,10038,physics,B,B,True
llama3-8b,T1,10040,physics,C,H,False
llama3-8b,T1,10041,physics,D,E,False
llama3-8b,T1,10042,physics,E,A,False
llama3-8b,T1,10043,physics,A,A,True
llama3-8b,T1,10049,physics,E,I,False
llama3-8b,T1,10050,physics,C,H,False
llama3-8b,T1,10052,physics,E,C,False
llama3-8b,T1,10058,physics,I,J,False
llama3-8b,T1,10059,physics,F,A,False
llama3-8b,T1,10060,physics,B,C,False
llama3-8b,T1,10063,physics,J,A,False
llama3-8b,T1,10069,physics,E,C,False
llama3-8b,T1,10070,physics,B,G,False
llama3-8b,T1,10076,physics,C,A,False
llama3-8b,T1,10079,physics,B,I,False
llama3-8b,T1,10083,physics,F,F,True
llama3-8b,T1,10086,physics,B,A,False
llama3-8b,T1,10089,physics,A,I,False
llama3-8b,T1,10091,physics,C,H,False
llama3-8b,T1,10092,physics,E,B,False
llama3-8b,T1,10095,physics,F,F,True
llama3-8b,T1,10099,physics,G,J,False
llama3-8b,T1,10100,physics,J,J,True
llama3-8b,T1,10102,physics,B,J,False
llama3-8b,T1,10105,physics,B,E,False
llama3-8b,T1,10110,physics,B,J,False
llama3-8b,T1,10113,physics,C,G,False
llama3-8b,T1,10116,physics,C,A,False
llama3-8b,T1,10118,physics,F,F,True
llama3-8b,T1,10121,physics,G,J,False
llama3-8b,T1,10123,physics,C,H,False
llama3-8b,T1,10126,physics,G,G,True
llama3-8b,T1,10135,physics,F,J,False
llama3-8b,T1,10139,physics,A,I,False
llama3-8b,T1,10140,physics,F,H,False
llama3-8b,T1,10143,physics,A,A,True
llama3-8b,T1,10144,physics,E,E,True
llama3-8b,T1,10147,physics,E,E,True
llama3-8b,T1,10149,physics,C,C,True
llama3-8b,T1,10150,physics,D,D,True
llama3-8b,T1,10151,physics,F,D,False
llama3-8b,T1,10152,physics,D,E,False
llama3-8b,T1,10153,physics,E,F,False
llama3-8b,T1,10155,physics,B,H,False
llama3-8b,T1,10162,physics,A,E,False
llama3-8b,T1,10165,physics,H,H,True
llama3-8b,T1,10168,physics,H,B,False
llama3-8b,T1,10173,physics,B,F,False
llama3-8b,T1,10180,physics,E,J,False
llama3-8b,T1,10182,physics,E,E,True
llama3-8b,T1,10188,physics,I,I,True
llama3-8b,T1,10190,physics,B,B,True
llama3-8b,T1,10191,physics,H,H,True
llama3-8b,T1,10193,physics,D,H,False
llama3-8b,T1,10194,physics,C,A,False
llama3-8b,T1,10195,physics,H,H,True
llama3-8b,T1,10199,physics,D,D,True
llama3-8b,T1,10201,physics,D,D,True
llama3-8b,T1,10206,physics,D,A,False
llama3-8b,T1,10207,physics,I,I,True
llama3-8b,T1,10209,physics,D,B,False
llama3-8b,T1,10211,physics,I,I,True
llama3-8b,T1,10213,physics,J,A,False
llama3-8b,T1,10220,physics,C,J,False
llama3-8b,T1,10226,physics,E,D,False
llama3-8b,T1,10229,physics,F,I,False
llama3-8b,T1,10235,physics,E,A,False
llama3-8b,T1,10237,physics,C,J,False
llama3-8b,T1,10240,physics,E,G,False
llama3-8b,T1,10241,physics,D,G,False
llama3-8b,T1,10243,physics,B,J,False
llama3-8b,T1,10249,physics,C,J,False
llama3-8b,T1,10250,physics,F,B,False
llama3-8b,T1,10251,physics,F,E,False
llama3-8b,T1,10253,physics,B,A,False
llama3-8b,T1,10255,physics,F,J,False
llama3-8b,T1,10259,physics,D,J,False
llama3-8b,T1,10260,physics,D,H,False
llama3-8b,T1,10261,physics,F,F,True
llama3-8b,T1,10268,physics,G,A,False
llama3-8b,T1,10273,physics,J,A,False
llama3-8b,T1,10274,physics,C,I,False
llama3-8b,T1,10276,physics,E,B,False
llama3-8b,T1,10283,physics,A,I,False
llama3-8b,T1,10286,physics,D,D,True
llama3-8b,T1,10287,physics,D,A,False
llama3-8b,T1,10292,physics,C,G,False
llama3-8b,T1,10293,physics,D,I,False
llama3-8b,T1,10295,physics,E,G,False
llama3-8b,T1,10298,physics,C,C,True
llama3-8b,T1,10299,physics,E,E,True
llama3-8b,T1,10307,physics,H,C,False
llama3-8b,T1,10308,physics,B,E,False
llama3-8b,T1,10310,physics,E,C,False
llama3-8b,T1,10311,physics,G,F,False
llama3-8b,T1,10314,physics,F,F,True
llama3-8b,T1,10316,physics,B,J,False
llama3-8b,T1,10317,physics,I,F,False
llama3-8b,T1,10318,physics,G,G,True
llama3-8b,T1,10319,physics,F,B,False
llama3-8b,T1,10320,physics,D,J,False
llama3-8b,T1,10322,physics,G,A,False
llama3-8b,T1,10324,physics,E,D,False
llama3-8b,T1,10326,physics,H,B,False
llama3-8b,T1,10330,physics,C,C,True
llama3-8b,T1,10333,physics,A,C,False
llama3-8b,T1,10335,physics,H,H,True
llama3-8b,T1,10336,physics,B,E,False
llama3-8b,T1,10337,physics,B,G,False
llama3-8b,T1,10340,physics,A,D,False
llama3-8b,T1,10344,physics,B,A,False
llama3-8b,T1,10345,physics,J,G,False
llama3-8b,T1,10346,physics,D,I,False
llama3-8b,T1,10348,physics,C,J,False
llama3-8b,T1,10349,physics,B,A,False
llama3-8b,T1,10350,physics,B,B,True
llama3-8b,T1,10352,physics,E,D,False
llama3-8b,T1,10353,physics,C,H,False
llama3-8b,T1,10354,physics,J,H,False
llama3-8b,T1,10355,physics,C,E,False
llama3-8b,T1,866,law,E,D,False
llama3-8b,T1,867,law,E,B,False
llama3-8b,T1,871,law,C,C,True
llama3-8b,T1,872,law,F,G,False
llama3-8b,T1,873,law,E,E,True
llama3-8b,T1,874,law,E,A,False
llama3-8b,T1,876,law,B,I,False
llama3-8b,T1,879,law,I,A,False
llama3-8b,T1,885,law,G,C,False
llama3-8b,T1,889,law,D,C,False
llama3-8b,T1,890,law,C,G,False
llama3-8b,T1,894,law,D,H,False
llama3-8b,T1,895,law,E,H,False
llama3-8b,T1,896,law,B,G,False
llama3-8b,T1,899,law,D,G,False
llama3-8b,T1,902,law,I,I,True
llama3-8b,T1,903,law,B,B,True
llama3-8b,T1,905,law,D,A,False
llama3-8b,T1,907,law,I,J,False
llama3-8b,T1,908,law,I,B,False
llama3-8b,T1,909,law,A,B,False
llama3-8b,T1,913,law,A,E,False
llama3-8b,T1,915,law,E,G,False
llama3-8b,T1,917,law,F,I,False
llama3-8b,T1,918,law,A,J,False
llama3-8b,T1,919,law,D,E,False
llama3-8b,T1,922,law,D,D,True
llama3-8b,T1,923,law,D,F,False
llama3-8b,T1,924,law,J,J,True
llama3-8b,T1,925,law,J,J,True
llama3-8b,T1,933,law,I,H,False
llama3-8b,T1,937,law,B,D,False
llama3-8b,T1,939,law,G,G,True
llama3-8b,T1,942,law,F,F,True
llama3-8b,T1,943,law,H,F,False
llama3-8b,T1,944,law,D,D,True
llama3-8b,T1,946,law,E,B,False
llama3-8b,T1,952,law,D,D,True
llama3-8b,T1,954,law,F,E,False
llama3-8b,T1,955,law,G,A,False
llama3-8b,T1,958,law,J,J,True
llama3-8b,T1,959,law,A,A,True
llama3-8b,T1,965,law,G,F,False
llama3-8b,T1,969,law,I,I,True
llama3-8b,T1,971,law,H,C,False
llama3-8b,T1,973,law,H,H,True
llama3-8b,T1,974,law,F,G,False
llama3-8b,T1,975,law,G,D,False
llama3-8b,T1,976,law,G,E,False
llama3-8b,T1,981,law,C,I,False
llama3-8b,T1,983,law,D,G,False
llama3-8b,T1,984,law,F,B,False
llama3-8b,T1,985,law,D,G,False
llama3-8b,T1,986,law,J,B,False
llama3-8b,T1,988,law,G,B,False
llama3-8b,T1,990,law,F,G,False
llama3-8b,T1,991,law,A,E,False
llama3-8b,T1,994,law,F,H,False
llama3-8b,T1,995,law,E,F,False
llama3-8b,T1,1000,law,G,A,False
llama3-8b,T1,1004,law,H,F,False
llama3-8b,T1,1005,law,E,D,False
llama3-8b,T1,1007,law,C,A,False
llama3-8b,T1,1008,law,G,J,False
llama3-8b,T1,1010,law,A,E,False
llama3-8b,T1,1015,law,C,F,False
llama3-8b,T1,1016,law,A,H,False
llama3-8b,T1,1017,law,B,B,True
llama3-8b,T1,1019,law,F,A,False
llama3-8b,T1,1032,law,B,D,False
llama3-8b,T1,1036,law,D,B,False
llama3-8b,T1,1038,law,E,B,False
llama3-8b,T1,1040,law,F,I,False
llama3-8b,T1,1041,law,B,I,False
llama3-8b,T1,1042,law,I,E,False
llama3-8b,T1,1044,law,A,B,False
llama3-8b,T1,1045,law,G,E,False
llama3-8b,T1,1050,law,A,A,True
llama3-8b,T1,1051,law,F,D,False
llama3-8b,T1,1052,law,G,A,False
llama3-8b,T1,1053,law,J,B,False
llama3-8b,T1,1055,law,J,C,False
llama3-8b,T1,1061,law,F,F,True
llama3-8b,T1,1063,law,G,A,False
llama3-8b,T1,1064,law,J,A,False
llama3-8b,T1,1065,law,F,F,True
llama3-8b,T1,1067,law,J,J,True
llama3-8b,T1,1068,law,E,B,False
llama3-8b,T1,1069,law,F,F,True
llama3-8b,T1,1070,law,D,E,False
llama3-8b,T1,1071,law,C,A,False
llama3-8b,T1,1072,law,F,F,True
llama3-8b,T1,1073,law,J,F,False
llama3-8b,T1,1076,law,D,D,True
llama3-8b,T1,1077,law,D,I,False
llama3-8b,T1,1078,law,C,B,False
llama3-8b,T1,1079,law,G,I,False
llama3-8b,T1,1083,law,I,A,False
llama3-8b,T1,1084,law,D,J,False
llama3-8b,T1,1085,law,C,I,False
llama3-8b,T1,1086,law,A,C,False
llama3-8b,T1,1090,law,F,A,False
llama3-8b,T1,1091,law,B,A,False
llama3-8b,T1,1094,law,J,A,False
llama3-8b,T1,1096,law,A,A,True
llama3-8b,T1,1099,law,C,I,False
llama3-8b,T1,1100,law,E,D,False
llama3-8b,T1,1101,law,E,E,True
llama3-8b,T1,1103,law,J,G,False
llama3-8b,T1,1106,law,B,C,False
llama3-8b,T1,1108,law,D,G,False
llama3-8b,T1,1110,law,I,I,True
llama3-8b,T1,1114,law,C,B,False
llama3-8b,T1,1116,law,B,A,False
llama3-8b,T1,1117,law,G,D,False
llama3-8b,T1,1123,law,D,D,True
llama3-8b,T1,1124,law,C,C,True
llama3-8b,T1,1132,law,G,F,False
llama3-8b,T1,1136,law,I,H,False
llama3-8b,T1,1137,law,E,C,False
llama3-8b,T1,1139,law,E,I,False
llama3-8b,T1,1142,law,F,I,False
llama3-8b,T1,1143,law,B,A,False
llama3-8b,T1,1144,law,E,E,True
llama3-8b,T1,1145,law,J,J,True
llama3-8b,T1,1146,law,A,E,False
llama3-8b,T1,1147,law,G,C,False
llama3-8b,T1,1154,law,C,D,False
llama3-8b,T1,1155,law,G,G,True
llama3-8b,T1,1156,law,C,C,True
llama3-8b,T1,1158,law,I,C,False
llama3-8b,T1,1159,law,E,D,False
llama3-8b,T1,1161,law,I,I,True
llama3-8b,T1,1162,law,F,F,True
llama3-8b,T1,1163,law,G,D,False
llama3-8b,T1,1165,law,C,C,True
llama3-8b,T1,1168,law,G,H,False
llama3-8b,T1,1169,law,D,F,False
llama3-8b,T1,1172,law,A,A,True
llama3-8b,T1,1174,law,I,B,False
llama3-8b,T1,1179,law,H,F,False
llama3-8b,T1,1183,law,F,A,False
llama3-8b,T1,1184,law,F,I,False
